Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
dianqiground,-5.02456755074236,4.0437260140032,2.45617776000711,0,0,0,8964955.13682937,1036046482.80066,20572265.3999812,-4342.41918297833,2017594245.59303,-61952.1071978487,3017074673.02833,0,0,0,0,0,0,package://电气夹层3.0/meshes/dianqiground.STL,1,1,1,1,0,0,0,0,0,0,package://电气夹层3.0/meshes/dianqiground.STL,,柜子b2.0-1/零件39^柜子b2.0-1;柜子a2.0-2/零件38^柜子a2.0-1;柜子b2.0-2/零件39^柜子b2.0-1;柜子a2.0-3/零件38^柜子a2.0-1;柜子b2.0-3/零件39^柜子b2.0-1;柜子b2.0-4/零件39^柜子b2.0-1;柜子a2.0-5/零件38^柜子a2.0-1;柜子b2.0-5/零件39^柜子b2.0-1;柜子a2.0-32/零件38^柜子a2.0-1;柜子a2.0-1/柜子a.STEP-1/_____________1.STEP-1;柜子a2.0-1/柜子a.STEP-1/____-1_1.STEP-3;柜子a2.0-1/柜子a.STEP-1/____b_2.STEP-4;柜子a2.0-1/柜子a.STEP-1/____b_2.STEP-7;电气夹层-1;柜子a2.0-1/柜子a.STEP-1/____ - _____2.STEP-1;柜子a2.0-1/柜子a.STEP-1/________1_1.STEP-8/____________a_2.STEP-7;柜子a2.0-1/柜子a.STEP-1/________1_1.STEP-8/____b_2.STEP-16;柜子a2.0-1/柜子a.STEP-1/________1_1.STEP-8/_____2.STEP-7;柜子a2.0-1/柜子a.STEP-1/________1_1.STEP-8/____b_2.STEP-15;柜子a2.0-1/柜子a.STEP-1/________1_1.STEP-8/____ - _____2.STEP-7;柜子b2.0-1/柜子b.STEP-1/____-0.STEP-1;柜子b2.0-1/柜子b.STEP-1/____b_3.STEP-1;柜子b2.0-1/柜子b.STEP-1/_____________2.STEP-1;柜子b2.0-1/柜子b.STEP-1/____b_3.STEP-8;柜子b2.0-1/柜子b.STEP-1/____ - _____3.STEP-1;柜子b2.0-1/柜子b.STEP-1/________1_2.STEP-10/____b_3.STEP-11;柜子b2.0-1/柜子b.STEP-1/________1_2.STEP-10/____ - _____3.STEP-5;柜子b2.0-1/柜子b.STEP-1/________1_2.STEP-10/____________a_3.STEP-5;柜子b2.0-1/柜子b.STEP-1/________1_2.STEP-10/_____3.STEP-5;柜子b2.0-1/柜子b.STEP-1/________1_2.STEP-10/____b_3.STEP-12;柜子b2.0-1/柜子b.STEP-1/________1_2.STEP-6/____________a_3.STEP-5;柜子b2.0-1/柜子b.STEP-1/________1_2.STEP-6/_____3.STEP-5;柜子b2.0-1/柜子b.STEP-1/________1_2.STEP-6/____b_3.STEP-11;柜子b2.0-1/柜子b.STEP-1/________1_2.STEP-6/____ - _____3.STEP-5;柜子b2.0-1/柜子b.STEP-1/________1_2.STEP-6/____b_3.STEP-12;柜子a2.0-2/柜子a.STEP-1/_____________1.STEP-1;柜子a2.0-2/柜子a.STEP-1/____-1_1.STEP-3;柜子a2.0-2/柜子a.STEP-1/____b_2.STEP-4;柜子a2.0-2/柜子a.STEP-1/____b_2.STEP-7;柜子a2.0-2/柜子a.STEP-1/____ - _____2.STEP-1;柜子a2.0-2/柜子a.STEP-1/________1_1.STEP-8/____b_2.STEP-16;柜子a2.0-2/柜子a.STEP-1/________1_1.STEP-8/____________a_2.STEP-7;柜子a2.0-2/柜子a.STEP-1/________1_1.STEP-8/_____2.STEP-7;柜子a2.0-2/柜子a.STEP-1/________1_1.STEP-8/____b_2.STEP-15;柜子a2.0-2/柜子a.STEP-1/________1_1.STEP-8/____ - _____2.STEP-7;柜子b2.0-2/柜子b.STEP-1/_____________2.STEP-1;柜子b2.0-2/柜子b.STEP-1/____-0.STEP-1;柜子b2.0-2/柜子b.STEP-1/____b_3.STEP-1;柜子b2.0-2/柜子b.STEP-1/________1_2.STEP-10/____________a_3.STEP-5;柜子b2.0-2/柜子b.STEP-1/________1_2.STEP-10/____b_3.STEP-12;柜子b2.0-2/柜子b.STEP-1/________1_2.STEP-10/_____3.STEP-5;柜子b2.0-2/柜子b.STEP-1/________1_2.STEP-10/____b_3.STEP-11;柜子b2.0-2/柜子b.STEP-1/________1_2.STEP-10/____ - _____3.STEP-5;柜子b2.0-2/柜子b.STEP-1/____b_3.STEP-8;柜子b2.0-2/柜子b.STEP-1/____ - _____3.STEP-1;柜子b2.0-2/柜子b.STEP-1/________1_2.STEP-6/____b_3.STEP-12;柜子b2.0-2/柜子b.STEP-1/________1_2.STEP-6/____________a_3.STEP-5;柜子b2.0-2/柜子b.STEP-1/________1_2.STEP-6/_____3.STEP-5;柜子b2.0-2/柜子b.STEP-1/________1_2.STEP-6/____b_3.STEP-11;柜子b2.0-2/柜子b.STEP-1/________1_2.STEP-6/____ - _____3.STEP-5;柜子a2.0-3/柜子a.STEP-1/____-1_1.STEP-3;柜子a2.0-3/柜子a.STEP-1/_____________1.STEP-1;柜子a2.0-3/柜子a.STEP-1/____b_2.STEP-4;柜子a2.0-3/柜子a.STEP-1/____b_2.STEP-7;柜子a2.0-3/柜子a.STEP-1/____ - _____2.STEP-1;柜子a2.0-3/柜子a.STEP-1/________1_1.STEP-8/____b_2.STEP-16;柜子a2.0-3/柜子a.STEP-1/________1_1.STEP-8/____________a_2.STEP-7;柜子a2.0-3/柜子a.STEP-1/________1_1.STEP-8/_____2.STEP-7;柜子a2.0-3/柜子a.STEP-1/________1_1.STEP-8/____b_2.STEP-15;柜子a2.0-3/柜子a.STEP-1/________1_1.STEP-8/____ - _____2.STEP-7;柜子b2.0-4/柜子b.STEP-1/_____________2.STEP-1;柜子b2.0-4/柜子b.STEP-1/____b_3.STEP-1;柜子b2.0-4/柜子b.STEP-1/____-0.STEP-1;柜子b2.0-4/柜子b.STEP-1/________1_2.STEP-10/____b_3.STEP-12;柜子b2.0-4/柜子b.STEP-1/________1_2.STEP-10/____________a_3.STEP-5;柜子b2.0-4/柜子b.STEP-1/________1_2.STEP-10/_____3.STEP-5;柜子b2.0-4/柜子b.STEP-1/________1_2.STEP-10/____b_3.STEP-11;柜子b2.0-4/柜子b.STEP-1/________1_2.STEP-10/____ - _____3.STEP-5;柜子b2.0-4/柜子b.STEP-1/____b_3.STEP-8;柜子b2.0-4/柜子b.STEP-1/____ - _____3.STEP-1;柜子b2.0-4/柜子b.STEP-1/________1_2.STEP-6/____________a_3.STEP-5;柜子b2.0-4/柜子b.STEP-1/________1_2.STEP-6/____b_3.STEP-12;柜子b2.0-4/柜子b.STEP-1/________1_2.STEP-6/_____3.STEP-5;柜子b2.0-4/柜子b.STEP-1/________1_2.STEP-6/____b_3.STEP-11;柜子b2.0-4/柜子b.STEP-1/________1_2.STEP-6/____ - _____3.STEP-5;柜子a2.0-5/柜子a.STEP-1/_____________1.STEP-1;柜子a2.0-5/柜子a.STEP-1/____-1_1.STEP-3;柜子a2.0-5/柜子a.STEP-1/____b_2.STEP-4;柜子a2.0-5/柜子a.STEP-1/____b_2.STEP-7;柜子a2.0-5/柜子a.STEP-1/____ - _____2.STEP-1;柜子a2.0-5/柜子a.STEP-1/________1_1.STEP-8/____b_2.STEP-16;柜子a2.0-5/柜子a.STEP-1/________1_1.STEP-8/____________a_2.STEP-7;柜子a2.0-5/柜子a.STEP-1/________1_1.STEP-8/_____2.STEP-7;柜子a2.0-5/柜子a.STEP-1/________1_1.STEP-8/____b_2.STEP-15;柜子a2.0-5/柜子a.STEP-1/________1_1.STEP-8/____ - _____2.STEP-7;柜子b2.0-5/柜子b.STEP-1/________1_2.STEP-10/____b_3.STEP-12;柜子b2.0-5/柜子b.STEP-1/________1_2.STEP-10/_____3.STEP-5;柜子b2.0-5/柜子b.STEP-1/________1_2.STEP-10/____b_3.STEP-11;柜子b2.0-5/柜子b.STEP-1/_____________2.STEP-1;柜子b2.0-5/柜子b.STEP-1/________1_2.STEP-10/____________a_3.STEP-5;柜子b2.0-5/柜子b.STEP-1/________1_2.STEP-10/____ - _____3.STEP-5;柜子b2.0-5/柜子b.STEP-1/____-0.STEP-1;柜子b2.0-5/柜子b.STEP-1/____b_3.STEP-1;柜子b2.0-5/柜子b.STEP-1/____b_3.STEP-8;柜子b2.0-5/柜子b.STEP-1/____ - _____3.STEP-1;柜子b2.0-5/柜子b.STEP-1/________1_2.STEP-6/____b_3.STEP-11;柜子b2.0-5/柜子b.STEP-1/________1_2.STEP-6/____ - _____3.STEP-5;柜子b2.0-5/柜子b.STEP-1/________1_2.STEP-6/_____3.STEP-5;柜子b2.0-5/柜子b.STEP-1/________1_2.STEP-6/____________a_3.STEP-5;柜子b2.0-5/柜子b.STEP-1/________1_2.STEP-6/____b_3.STEP-12;柜子a2.0-32/柜子a.STEP-1/____-1_1.STEP-3;柜子a2.0-32/柜子a.STEP-1/_____________1.STEP-1;柜子a2.0-32/柜子a.STEP-1/____b_2.STEP-4;柜子a2.0-32/柜子a.STEP-1/____b_2.STEP-7;柜子a2.0-32/柜子a.STEP-1/____ - _____2.STEP-1;柜子a2.0-32/柜子a.STEP-1/________1_1.STEP-8/____________a_2.STEP-7;柜子a2.0-32/柜子a.STEP-1/________1_1.STEP-8/_____2.STEP-7;柜子a2.0-32/柜子a.STEP-1/________1_1.STEP-8/____b_2.STEP-16;柜子a2.0-32/柜子a.STEP-1/________1_1.STEP-8/____b_2.STEP-15;柜子a2.0-32/柜子a.STEP-1/________1_1.STEP-8/____ - _____2.STEP-7;柜子b2.0-1/柜子b.STEP-1/____-0.STEP-2;柜子b2.0-1/柜子b.STEP-1/____b_3.STEP-2;柜子b2.0-1/柜子b.STEP-1/_____________2.STEP-4;柜子b2.0-1/柜子b.STEP-1/____b_3.STEP-9;柜子b2.0-1/柜子b.STEP-1/____ - _____3.STEP-2;柜子b2.0-2/柜子b.STEP-1/____b_3.STEP-2;柜子b2.0-2/柜子b.STEP-1/____-0.STEP-2;柜子b2.0-2/柜子b.STEP-1/_____________2.STEP-4;柜子b2.0-2/柜子b.STEP-1/____b_3.STEP-9;柜子b2.0-2/柜子b.STEP-1/____ - _____3.STEP-2;柜子a2.0-4/零件38^柜子a2.0-1;柜子b2.0-4/柜子b.STEP-1/_____________2.STEP-4;柜子b2.0-4/柜子b.STEP-1/____b_3.STEP-2;柜子b2.0-4/柜子b.STEP-1/____-0.STEP-2;柜子b2.0-5/柜子b.STEP-1/____b_3.STEP-2;柜子b2.0-5/柜子b.STEP-1/____-0.STEP-2;柜子b2.0-5/柜子b.STEP-1/____b_3.STEP-9;柜子b2.0-5/柜子b.STEP-1/____ - _____3.STEP-2;柜子b2.0-5/柜子b.STEP-1/_____________2.STEP-4;柜子a2.0-1/柜子a.STEP-1/________1_1.STEP-7/____b_2.STEP-16;柜子a2.0-1/柜子a.STEP-1/________1_1.STEP-7/____________a_2.STEP-7;柜子a2.0-1/柜子a.STEP-1/________1_1.STEP-7/_____2.STEP-7;柜子a2.0-1/柜子a.STEP-1/________1_1.STEP-7/____b_2.STEP-15;柜子a2.0-1/柜子a.STEP-1/________1_1.STEP-7/____ - _____2.STEP-7;柜子a2.0-2/柜子a.STEP-1/________1_1.STEP-7/_____2.STEP-7;柜子a2.0-2/柜子a.STEP-1/________1_1.STEP-7/____b_2.STEP-16;柜子a2.0-2/柜子a.STEP-1/________1_1.STEP-7/____b_2.STEP-15;柜子a2.0-2/柜子a.STEP-1/________1_1.STEP-7/____________a_2.STEP-7;柜子a2.0-2/柜子a.STEP-1/________1_1.STEP-7/____ - _____2.STEP-7;柜子a2.0-3/柜子a.STEP-1/________1_1.STEP-7/____________a_2.STEP-7;柜子a2.0-3/柜子a.STEP-1/________1_1.STEP-7/_____2.STEP-7;柜子a2.0-3/柜子a.STEP-1/________1_1.STEP-7/____b_2.STEP-16;柜子a2.0-3/柜子a.STEP-1/________1_1.STEP-7/____b_2.STEP-15;柜子a2.0-3/柜子a.STEP-1/________1_1.STEP-7/____ - _____2.STEP-7;柜子b2.0-4/柜子b.STEP-1/____ - _____3.STEP-2;柜子b2.0-4/柜子b.STEP-1/____b_3.STEP-9;柜子a2.0-5/柜子a.STEP-1/________1_1.STEP-7/____________a_2.STEP-7;柜子a2.0-5/柜子a.STEP-1/________1_1.STEP-7/_____2.STEP-7;柜子a2.0-5/柜子a.STEP-1/________1_1.STEP-7/____b_2.STEP-16;柜子a2.0-5/柜子a.STEP-1/________1_1.STEP-7/____b_2.STEP-15;柜子a2.0-5/柜子a.STEP-1/________1_1.STEP-7/____ - _____2.STEP-7;柜子a2.0-32/柜子a.STEP-1/________1_1.STEP-7/____________a_2.STEP-7;柜子a2.0-32/柜子a.STEP-1/________1_1.STEP-7/____b_2.STEP-16;柜子a2.0-32/柜子a.STEP-1/________1_1.STEP-7/____ - _____2.STEP-7;柜子a2.0-32/柜子a.STEP-1/________1_1.STEP-7/____b_2.STEP-15;柜子a2.0-32/柜子a.STEP-1/________1_1.STEP-7/_____2.STEP-7;柜子a2.0-1/零件38^柜子a2.0-1,dianqiground,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
s1,-0.259058262178243,0.144999598181109,0.129850451534708,0,0,0,29.8437528104335,0.282842433706676,3.17555136000134E-06,3.03662099004193E-05,0.844050168513507,-2.51584676720716E-07,0.87938816216385,0,0,0,0,0,0,package://电气夹层3.0/meshes/s1.STL,1,1,1,1,0,0,0,0,0,0,package://电气夹层3.0/meshes/s1.STL,,柜子b2.0-3/柜子b.STEP-1/________1_2.STEP-6/____________a_3.STEP-5;柜子b2.0-3/柜子b.STEP-1/________1_2.STEP-6/____b_3.STEP-12;柜子b2.0-3/柜子b.STEP-1/________1_2.STEP-6/____b_3.STEP-11,s_1,s1,ds1,prismatic,0.0300000000000082,4.43600000000063,1.92999999999969,0,0,0,dianqiground,1,0,0,100,1,0,0.3,,,0.1,1,3.14,-3.14,1,1
s1r,-0.0078398134884905,0.000113937167924405,4.52788185612008E-05,0,0,0,0.117444421998411,8.94477126664695E-05,-1.71813201464424E-07,-6.82788497471854E-08,5.52038052110814E-05,8.21217267530368E-07,4.77428317663844E-05,0,0,0,0,0,0,package://电气夹层3.0/meshes/s1r.STL,1,1,1,1,0,0,0,0,0,0,package://电气夹层3.0/meshes/s1r.STL,,柜子b2.0-3/柜子b.STEP-1/________1_2.STEP-6/_____3.STEP-5,s1_r,s1r,s1r,revolute,0.02,0.145,0.16828,0,0,0,s1,1,0,0,100,1,-1.5708,0,,,0.1,1,3.14,-3.14,1,1
s1p,-0.00838140889091399,0.00799999999999557,0.00217884984539296,0,0,0,0.000703519534269312,1.64325246660352E-08,-4.38194811760976E-24,9.87349732156314E-10,7.35697582728111E-09,1.83260326378982E-24,2.09412846233985E-08,0,0,0,0,0,0,package://电气夹层3.0/meshes/s1p.STL,1,1,1,1,0,0,0,0,0,0,package://电气夹层3.0/meshes/s1p.STL,,柜子b2.0-3/柜子b.STEP-1/________1_2.STEP-6/____ - _____3.STEP-5,s1_p,s1p,s1p,prismatic,0.0690000000000008,0.222000000000001,0.120999999999981,0,0,0,s1,1,0,0,100,1,-0.03,0,,,0.1,1,3.14,-3.14,1,1
s2,-0.259058262178245,0.144999598181109,0.129850451534708,0,0,0,29.8437528104335,0.282842433706676,3.17555135999982E-06,3.03662099004198E-05,0.844050168513507,-2.51584676720718E-07,0.87938816216385,0,0,0,0,0,0,package://电气夹层3.0/meshes/s2.STL,1,1,1,1,0,0,0,0,0,0,package://电气夹层3.0/meshes/s2.STL,,柜子b2.0-3/柜子b.STEP-1/________1_2.STEP-10/____________a_3.STEP-5;柜子b2.0-3/柜子b.STEP-1/________1_2.STEP-10/____b_3.STEP-12;柜子b2.0-3/柜子b.STEP-1/________1_2.STEP-10/____b_3.STEP-11,s_2,s2,ds2,prismatic,0.0300000000000065,4.07400000000064,1.3899999999997,0,0,0,dianqiground,1,0,0,100,1,0,0.3,,,0.1,1,3.14,-3.14,1,1
s2r,-0.0078398134884905,0.000113937167924405,4.52788185612008E-05,0,0,0,0.117444421998411,8.94477126664695E-05,-1.71813201464424E-07,-6.82788497471854E-08,5.52038052110814E-05,8.21217267530368E-07,4.77428317663844E-05,0,0,0,0,0,0,package://电气夹层3.0/meshes/s2r.STL,1,1,1,1,0,0,0,0,0,0,package://电气夹层3.0/meshes/s2r.STL,,柜子b2.0-3/柜子b.STEP-1/________1_2.STEP-10/_____3.STEP-5,s2_r,s2r,s2r,revolute,0.02,0.145,0.16828,0,0,0,s2,1,0,0,100,1,-1.5708,0,,,0.1,1,3.14,-3.14,1,1
s2p,-0.0083814088909131,0.00800000000000267,0.00217884984542138,0,0,0,0.000703519534269312,1.64325246660352E-08,-4.38194811760976E-24,9.87349732156314E-10,7.35697582728111E-09,1.83260326378982E-24,2.09412846233985E-08,0,0,0,0,0,0,package://电气夹层3.0/meshes/s2p.STL,1,1,1,1,0,0,0,0,0,0,package://电气夹层3.0/meshes/s2p.STL,,柜子b2.0-3/柜子b.STEP-1/________1_2.STEP-10/____ - _____3.STEP-5,s2_p,s2p,s2p,prismatic,0.0690000000000008,0.222000000000001,0.120999999999981,0,0,0,s2,1,0,0,100,1,-0.03,0,,,0.1,1,3.14,-3.14,1,1
b1,-0.262953261718849,0.35302697675862,0.119993047118072,0,0,0,80.6316495847304,3.49966593283979,-0.000583459461728248,0.000150378509414026,2.23670327058486,0.000100255906615888,5.07862492616254,0,0,0,0,0,0,package://电气夹层3.0/meshes/b1.STL,1,1,1,1,0,0,0,0,0,0,package://电气夹层3.0/meshes/b1.STL,,柜子b2.0-3/柜子b.STEP-1/_____________2.STEP-4;柜子b2.0-3/柜子b.STEP-1/____b_3.STEP-2;柜子b2.0-3/柜子b.STEP-1/____b_3.STEP-9,b_1,b1,db1,prismatic,0.0300000000000047,4.04700000000064,0.831870606203722,0,0,0,dianqiground,1,0,0,100,1,0,0.3,,,0.1,1,3.14,-3.14,100,1
b1r,-0.0129826274339182,-6.14039005313316E-05,-1.71263443746739E-05,0,0,0,0.167713475604662,0.000129661188473554,1.85189801079827E-07,5.16518377567576E-08,8.61897641551603E-05,-7.24282931231804E-10,7.8541346534438E-05,0,0,0,0,0,0,package://电气夹层3.0/meshes/b1r.STL,1,1,1,1,0,0,0,0,0,0,package://电气夹层3.0/meshes/b1r.STL,,柜子b2.0-3/柜子b.STEP-1/____-0.STEP-2,b1_r,b1r,b1r,revolute,0.03,0.16661,0.12017,0,0,0,b1,1,0,0,100,1,-1.5708,0,,,0.1,1,3.14,-3.14,1,1
b1p,-0.0083814088909131,0.00800000000000267,0.00217884984536454,0,0,0,0.000703519534269312,1.64325246660352E-08,-4.38194811760829E-24,9.87349732156315E-10,7.35697582728111E-09,1.83260326378991E-24,2.09412846233985E-08,0,0,0,0,0,0,package://电气夹层3.0/meshes/b1p.STL,1,1,1,1,0,0,0,0,0,0,package://电气夹层3.0/meshes/b1p.STL,,柜子b2.0-3/柜子b.STEP-1/____ - _____3.STEP-2,b1_p,b1p,b1p,prismatic,0.0690000000000026,0.637999999999998,0.168000000000006,0,0,0,b1,1,0,0,100,1,-0.03,0,,,0.1,1,3.14,-3.14,1,1
